size1,size3, size3, timestamp,
, ,17,1557393472,
18, , ,1557393473,
,17, ,1557393474,
, ,17,1557393474,
18, , ,1557393475,
,16, ,1557393476,
, ,17,1557393476,
19, , ,1557393477,
,17, ,1557393478,
, ,22,1557393479,
18, , ,1557393479,
,16, ,1557393480,
, ,17,1557393481,
18, , ,1557393481,
,17, ,1557393482,
, ,17,1557393483,
18, , ,1557393483,
,16, ,1557393484,
, ,17,1557393485,
18, , ,1557393485,
,17, ,1557393486,
, ,17,1557393487,
18, , ,1557393487,
,17, ,1557393488,
, ,17,1557393489,
18, , ,1557393489,
,17, ,1557393490,
, ,17,1557393491,
18, , ,1557393491,
,17, ,1557393492,
, ,17,1557393493,
24, , ,1557393494,
,17, ,1557393494,
, ,17,1557393495,
18, , ,1557393496,
,17, ,1557393496,
, ,17,1557393497,
18, , ,1557393498,
,16, ,1557393498,
, ,17,1557393499,
18, , ,1557393500,
,16, ,1557393500,
, ,17,1557393501,
18, , ,1557393502,
,17, ,1557393502,
, ,17,1557393503,
18, , ,1557393504,
,16, ,1557393504,
, ,17,1557393505,
18, , ,1557393506,
,17, ,1557393507,
, ,17,1557393507,
18, , ,1557393508,
,22, ,1557393509,
, ,17,1557393509,
18, , ,1557393510,
,17, ,1557393511,
, ,17,1557393511,
18, , ,1557393512,
,17, ,1557393513,
, ,17,1557393513,
18, , ,1557393514,
,17, ,1557393515,
, ,17,1557393515,
18, , ,1557393516,
,17, ,1557393517,
, ,17,1557393518,
18, , ,1557393518,
,17, ,1557393519,
, ,17,1557393520,
18, , ,1557393520,
,17, ,1557393521,
, ,16,1557393522,
18, , ,1557393522,
,17, ,1557393523,
, ,23,1557393524,
18, , ,1557393524,
,17, ,1557393525,
, ,20,1557393526,
19, , ,1557393526,
,19, ,1557393527,
, ,17,1557393528,
18, , ,1557393528,
,17, ,1557393529,
, ,17,1557393530,
18, , ,1557393530,
,17, ,1557393531,
, ,17,1557393532,
18, , ,1557393533,
,17, ,1557393533,
, ,17,1557393534,
18, , ,1557393535,
,16, ,1557393535,
, ,17,1557393536,
18, , ,1557393537,
,16, ,1557393537,
, ,17,1557393538,
24, , ,1557393539,
,17, ,1557393539,
, ,17,1557393540,
20, , ,1557393541,
,18, ,1557393541,
, ,17,1557393542,
17, , ,1557393543,
,17, ,1557393543,
, ,17,1557393544,
18, , ,1557393545,
,16, ,1557393546,
, ,17,1557393546,
18, , ,1557393547,
,17, ,1557393548,
, ,17,1557393548,
, ,20,1557393571,
20, , ,1557393572,
,17, ,1557393572,
, ,17,1557393573,
19, , ,1557393574,
,17, ,1557393574,
, ,18,1557393575,
20, , ,1557393576,
,18, ,1557393576,
, ,17,1557393577,
18, , ,1557393578,
,17, ,1557393578,
, ,17,1557393579,
18, , ,1557393580,
,18, ,1557393580,
, ,17,1557393581,
19, , ,1557393582,
,17, ,1557393582,
