size1, size2, size3, timestamp
19, , , 1557396578
, , 17, 1557396579
, 17, , 1557396579
18, , , 1557396580
, , 17, 1557396581
, 17, , 1557396581
18, , , 1557396582
, , 18, 1557396583
, 18, , 1557396583
18, , , 1557396584
, , 17, 1557396585
, 17, , 1557396585
19, , , 1557396586
, , 17, 1557396588
, 17, , 1557396588
18, , , 1557396588
, , 16, 1557396590
, 17, , 1557396590
19, , , 1557396590
, , 16, 1557396592
, 16, , 1557396592
18, , , 1557396593
, , 17, 1557396594
, 17, , 1557396594
19, , , 1557396595
, , 17, 1557396596
, 17, , 1557396596
18, , , 1557396597
, 17, , 1557396598
, , 17, 1557396598
18, , , 1557396599
, , 17, 1557396600
, 17, , 1557396600
19, , , 1557396601
, , 17, 1557396602
, 17, , 1557396602
18, , , 1557396603
, , 17, 1557396604
, 17, , 1557396604
18, , , 1557396605
, , 23, 1557396606
, 17, , 1557396606
18, , , 1557396607
, , 19, 1557396608
, 20, , 1557396608
18, , , 1557396609
, , 17, 1557396610
, 16, , 1557396610
21, , , 1557396611
, , 17, 1557396612
, 17, , 1557396612
19, , , 1557396613
, , 17, 1557396614
, 17, , 1557396614
18, , , 1557396615
, , 21, 1557396616
, 22, , 1557396616
18, , , 1557396617
, , 17, 1557396618
, 17, , 1557396618
18, , , 1557396619
, , 17, 1557396620
, 17, , 1557396620
18, , , 1557396621
, , 17, 1557396622
, 18, , 1557396622
18, , , 1557396623
, , 17, 1557396624
, 18, , 1557396625
18, , , 1557396625
, , 17, 1557396627
, 17, , 1557396627
18, , , 1557396627
, , 17, 1557396629
, 17, , 1557396629
18, , , 1557396629
, , 17, 1557396631
, 16, , 1557396631
18, , , 1557396632
, , 17, 1557396633
, 17, , 1557396633
18, , , 1557396634
, , 17, 1557396635
, 17, , 1557396635
18, , , 1557396636
, , 16, 1557396637
, 21, , 1557396637
18, , , 1557396638
, , 17, 1557396639
, 17, , 1557396639
19, , , 1557396640
, , 17, 1557396641
, 17, , 1557396641
18, , , 1557396642
, , 17, 1557396643
, 18, , 1557396643
18, , , 1557396644
, , 17, 1557396645
, 17, , 1557396645
18, , , 1557396646
, , 17, 1557396647
, 18, , 1557396647
19, , , 1557396648
, , 17, 1557396649
, 18, , 1557396649
18, , , 1557396650
, , 17, 1557396651
, 18, , 1557396651
18, , , 1557396652
, , 17, 1557396653
, 18, , 1557396653
, , 17, 1557396692
, 16, , 1557396692
18, , , 1557396693
, , 17, 1557396694
, 20, , 1557396694
18, , , 1557396695
, , 17, 1557396696
, 16, , 1557396696
17, , , 1557396697
, , 17, 1557396698
, 16, , 1557396698
18, , , 1557396699
, , 17, 1557396700
, 17, , 1557396701
17, , , 1557396702
, , 17, 1557396703
, 17, , 1557396703
24, , , 1557396703
, , 16, 1557396705
, 16, , 1557396705
19, , , 1557396705
, , 17, 1557396707
, 17, , 1557396707
18, , , 1557396708
, , 16, 1557396709
, 17, , 1557396709
20, , , 1557396710
, , 17, 1557396711
, 16, , 1557396711
18, , , 1557396712
, , 16, 1557396713
, 17, , 1557396713
18, , , 1557396714
, , 17, 1557396715
, 17, , 1557396715
20, , , 1557396716
, , 17, 1557396717
, 17, , 1557396717
18, , , 1557396718
, , 17, 1557396719
, 17, , 1557396719
18, , , 1557396720
, , 17, 1557396721
, 17, , 1557396721
18, , , 1557396722
, , 17, 1557396723
, 17, , 1557396723
18, , , 1557396724
, , 17, 1557396725
, 17, , 1557396725
18, , , 1557396726
, , 17, 1557396727
, 17, , 1557396727
18, , , 1557396728
, , 17, 1557396729
, 17, , 1557396729
18, , , 1557396730
, , 17, 1557396731
, 17, , 1557396731
20, , , 1557396732
, , 17, 1557396733
, 17, , 1557396733
21, , , 1557396734
, , 17, 1557396735
, 17, , 1557396735
19, , , 1557396736
, , 17, 1557396737
, 19, , 1557396737
18, , , 1557396738
, , 17, 1557396739
, 17, , 1557396740
18, , , 1557396740
, , 21, 1557396742
, 18, , 1557396742
18, , , 1557396742
, , 19, 1557396744
, 16, , 1557396744
18, , , 1557396744
, , 17, 1557396746
, 17, , 1557396746
21, , , 1557396747
, , 16, 1557396748
, 17, , 1557396748
18, , , 1557396749
, , 17, 1557396750
, 18, , 1557396750
21, , , 1557396751
, , 17, 1557396752
, 18, , 1557396752
18, , , 1557396753
, , 17, 1557396754
, 18, , 1557396754
18, , , 1557396755
, , 16, 1557396756
, 17, , 1557396756
18, , , 1557396757
, , 17, 1557396758
, 16, , 1557396758
18, , , 1557396759
, , 17, 1557396760
, 17, , 1557396760
19, , , 1557396761
, , 16, 1557396762
, 17, , 1557396762
17, , , 1557396763
, , 17, 1557396764
, 17, , 1557396764
18, , , 1557396765
, , 16, 1557396766
, 17, , 1557396766
18, , , 1557396767
, , 17, 1557396768
, 17, , 1557396768
18, , , 1557396769
, , 17, 1557396770
, 17, , 1557396770
19, , , 1557396771
, , 17, 1557396772
, 17, , 1557396772
18, , , 1557396773
, , 17, 1557396774
, 17, , 1557396774
18, , , 1557396775
, , 17, 1557396776
, 17, , 1557396777
18, , , 1557396777
, , 17, 1557396778
, 17, , 1557396779
18, , , 1557396779
, , 17, 1557396781
, 17, , 1557396781
18, , , 1557396781
, 23, , 1557396783
, , 17, 1557396783
18, , , 1557396784
, , 17, 1557396785
, 18, , 1557396785
18, , , 1557396786
, 19, , 1557396787
, , 20, 1557396787
18, , , 1557396788
, , 20, 1557396789
, 18, , 1557396789
18, , , 1557396790
, , 16, 1557396791
, 16, , 1557396791
19, , , 1557396792
, , 17, 1557396793
, 17, , 1557396793
18, , , 1557396794
, , 17, 1557396795
, 17, , 1557396795
19, , , 1557396796
, , 17, 1557396797
, 17, , 1557396797
18, , , 1557396798
, , 17, 1557396799
, 17, , 1557396799
18, , , 1557396800
, , 17, 1557396801
, 17, , 1557396801
18, , , 1557396802
, , 17, 1557396803
, 17, , 1557396803
18, , , 1557396804
, , 17, 1557396805
, 17, , 1557396805
18, , , 1557396806
, , 21, 1557396807
, 17, , 1557396807
19, , , 1557396808
, , 17, 1557396809
, 17, , 1557396809
18, , , 1557396810
, , 17, 1557396811
, 23, , 1557396811
, , 17, 1557396846
, 17, , 1557396846
19, , , 1557396847
